,Artist Name,variable,value
421,Dwn2earth,Average Danceability,0.7114253588516745
422,Dylan Scott,Average Danceability,0.5250578977272692
423,Dynoro,Average Danceability,0.6865499999999954
424,Dzeko,Average Danceability,0.6518149999999617
425,E-40,Average Danceability,0.8002508782883776
426,E.T.,Average Danceability,0.6970500000000001
427,EARTHGANG,Average Danceability,0.7031366071428677
428,EST Gee,Average Danceability,0.7748458347902097
429,Eagles,Average Danceability,0.5498132909926328
430,Eagles Of Death Metal,Average Danceability,0.5437473578552738
431,Earl Sweatshirt,Average Danceability,0.5537876678876679
432,Earlly Mac,Average Danceability,0.7704602380952381
433,"Earth, Wind & Fire",Average Danceability,0.6298726481831955
434,Eartha Kitt,Average Danceability,0.5160922862554086
435,Echosmith,Average Danceability,0.6075802380952381
436,Ed Sheeran,Average Danceability,0.672558783212676
437,Ednita Nazario,Average Danceability,0.5544182152406416
438,Edward Sharpe & The Magnetic Zeros,Average Danceability,0.47000365384615383
439,El Alfa,Average Danceability,0.8384317142857143
440,El Guincho,Average Danceability,0.6493750951825962
441,Electric Light Orchestra,Average Danceability,0.4680944010759773
442,Eli Young Band,Average Danceability,0.5418271111031144
443,Ella Fitzgerald,Average Danceability,0.49466060070350465
444,Ella Mai,Average Danceability,0.6307561251289995
445,Elley Duhé,Average Danceability,0.6492499999999952
446,Ellie Goulding,Average Danceability,0.5149344283244961
447,Elliott Trent,Average Danceability,0.6378761363636364
448,Elliphant,Average Danceability,0.6760836996336995
449,Elton John,Average Danceability,0.5287668702153153
450,Elvis Presley,Average Danceability,0.4278576198403271
451,Emani 22,Average Danceability,0.6577713675213672
452,Emilee,Average Danceability,0.687298688335777
453,Emily Warren,Average Danceability,0.5900726251370064
454,Eminem,Average Danceability,0.6982428612397259
455,Emma Stone,Average Danceability,0.506982890729728
456,Empire of the Sun,Average Danceability,0.614093347277722
457,Empress Of,Average Danceability,0.6569474999999931
458,En Vogue,Average Danceability,0.6884925183150183
459,Enrique Iglesias,Average Danceability,0.6480518897238406
460,Eric Church,Average Danceability,0.5483397369134116
461,Eslabon Armado,Average Danceability,0.59190869047619
462,Esprit Ange Andraos,Average Danceability,0.181
463,Estelle,Average Danceability,0.620651174936175
464,Eurielle,Average Danceability,0.3172401515151516
465,Eurythmics,Average Danceability,0.5644395298573974
466,Evan Rachel Wood,Average Danceability,0.3695109204440331
467,Evander Griiim,Average Danceability,0.7218598948858168
468,Excision,Average Danceability,0.4779677182539682
469,FKA twigs,Average Danceability,0.5286878611111103
470,FKi 1st,Average Danceability,0.8041451190476192
471,FLETCHER,Average Danceability,0.6392542451259806
472,FRENSHIP,Average Danceability,0.625271730769225
473,FRND,Average Danceability,0.638663333333333
474,Fabolous,Average Danceability,0.5995471338383822
475,Faith Hill,Average Danceability,0.5233759614578786
476,Fall Out Boy,Average Danceability,0.5371174829337043
477,Famous Dex,Average Danceability,0.7116867076224003
478,Farruko,Average Danceability,0.7319647510822535
479,Fat Joe,Average Danceability,0.6256982864357866
480,Felix Cartal,Average Danceability,0.6543171581196582
481,Felix Jaehn,Average Danceability,0.7351861403508793
482,Felix Snow,Average Danceability,0.6409666666666677
483,Fenix Flexin,Average Danceability,0.7975176354679783
484,Fetty Wap,Average Danceability,0.7990939294039504
485,Fifth Harmony,Average Danceability,0.6973120720945838
486,Fiona Apple,Average Danceability,0.5113296009872476
487,Fivio Foreign,Average Danceability,0.7442812500000014
488,Flames,Average Danceability,0.5314440675895784
489,Fleetwood Mac,Average Danceability,0.5517933949850543
490,Flipp Dinero,Average Danceability,0.807093956043996
491,Flo Rida,Average Danceability,0.6817196604090365
492,Florence + The Machine,Average Danceability,0.4699792559523808
493,Florida Georgia Line,Average Danceability,0.5636926762698458
494,Flume,Average Danceability,0.579509193404636
495,Flyboy Tarantino,Average Danceability,0.7837152976190467
496,Foo Fighters,Average Danceability,0.4382343175451999
497,Forever Band,Average Danceability,0.7209524999999999
498,Foster The People,Average Danceability,0.6261973484848491
499,Four Tops,Average Danceability,0.569241104767184
500,Fousheé,Average Danceability,0.6600916305916299
501,Foxy Brown,Average Danceability,0.7006817626480009
502,Francis and the Lights,Average Danceability,0.6672715303030295
503,Frank Ocean,Average Danceability,0.6427117647058417
504,Frank Sinatra,Average Danceability,0.39203926231178277
505,Fred Hammond,Average Danceability,0.5389732521658577
506,Freddie Gibbs,Average Danceability,0.6015756423841466
507,Free Nationals,Average Danceability,0.6443755424063116
508,French Montana,Average Danceability,0.6184556613157385
509,Freshlyground,Average Danceability,0.6401288086913084
510,Friyie,Average Danceability,0.7289688194444446
511,Funk Wav,Average Danceability,0.7768499999999908
512,Fuse ODG,Average Danceability,0.7657124765037597
513,Future,Average Danceability,0.7704246264297304
514,G Herbo,Average Danceability,0.6597719823926119
515,G-Eazy,Average Danceability,0.6402314640294857
516,GASHI,Average Danceability,0.6394142361111117
517,GZA,Average Danceability,0.6907500411150741
518,Gabby Barrett,Average Danceability,0.5500617873574659
519,Gabriela,Average Danceability,0.7492
520,Galantis,Average Danceability,0.6423277014652029
521,Game of Thrones,Average Danceability,0.5904714285714281
522,Gang Starr,Average Danceability,0.6965955871128354
523,Gene Autry,Average Danceability,0.5616332779309194
524,George Benson,Average Danceability,0.6147198290598285
525,George Ezra,Average Danceability,0.586486870547582
526,Georgia,Average Danceability,0.6144541666666667
527,Georgia Ku,Average Danceability,0.6154681680587926
528,Gesaffelstein,Average Danceability,0.663210546218475
529,Ghostface Killah,Average Danceability,0.5590579316516812
530,Gia Koka,Average Danceability,0.6714000000000109
531,Giggs,Average Danceability,0.7429191849816937
532,Gigi D'Agostino,Average Danceability,0.6688734267053523
533,Gilberto Santa Rosa,Average Danceability,0.6483361131902153
534,Gina Rodriguez,Average Danceability,0.5786163265306123
535,Giveon,Average Danceability,0.6105727040816445
536,Glades,Average Danceability,0.65756985930736
537,Glass Animals,Average Danceability,0.5973296816378068
538,Glee Cast,Average Danceability,0.5495013402147368
539,Gloria Estefan,Average Danceability,0.6129414980158732
540,GoldLink,Average Danceability,0.7349936282467754
541,Golden Features,Average Danceability,0.6726461018808777
542,Good Gas,Average Danceability,0.896769642857143
543,Goodboys,Average Danceability,0.7015936602870884
544,Gorillaz,Average Danceability,0.5995384514581902
545,Grace Jones,Average Danceability,0.7164010821123321
546,Greg Nice,Average Danceability,0.7117514393939391
